Restaurant ID,Restaurant,Address,Locality,Cuisines,Average Cost for two,Rating,Rating text,Votes
310365,SKY Lounge Bar & Grill - Hotel The Royal Plaza,"Rooftop, Hotel The Royal Plaza, 19, Ashoka Road, Connaught Place, New Delhi","Hotel The Royal Plaza, Janpath",Finger Food,2500,3,Average,265
4366,Jasmine - Hotel The Royal Plaza,"Hotel The Royal Plaza, 19, Ashoka Road, Janpath, New Delhi","Hotel The Royal Plaza, Janpath","Seafood, Chinese, Japanese, Sushi, Thai",4000,4,Good,44
4365,Lord William Tea Lounge - Hotel The Royal Plaza,"Hotel The Royal Plaza, 19, Ashoka Road, Janpath, New Delhi","Hotel The Royal Plaza, Janpath",Cafe,2500,4,Good,38
18419892,Royal Brewery Bistro,"Hotel The Royal Plaza, 19, Ashoka Road, Connaught Place, New Delhi","Hotel The Royal Plaza, Janpath","Finger Food, Italian",2000,4,Good,14
4357,Cafe - Hyatt Regency,"Hyatt Regency, Bhikaji Cama Place, New Delhi","Hyatt Regency, Bhikaji Cama Place","Cafe, Continental, North Indian",3500,4,Good,261
3379,La Piazza - Hyatt Regency,"Hyatt Regency, Bhikaji Cama Place, New Delhi","Hyatt Regency, Bhikaji Cama Place",Italian,4500,4,Good,410
3264,Polo Lounge - Hyatt Regency,"Hyatt Regency, Bhikaji Cama Place, New Delhi","Hyatt Regency, Bhikaji Cama Place",Finger Food,2500,4,Good,49
4368,Sidewalk - Hyatt Regency,"Hyatt Regency, Bhikaji Cama Place, New Delhi","Hyatt Regency, Bhikaji Cama Place","Bakery, Cafe",1000,4,Good,79
4356,T.K'S Oriental Grill - Hyatt Regency,"Hyatt Regency, Bhikaji Cama Place, New Delhi","Hyatt Regency, Bhikaji Cama Place","Japanese, Thai, Sushi",4000,4,Good,290
3378,China Kitchen - Hyatt Regency,"Hyatt Regency, Bhikaji Cama Place, New Delhi","Hyatt Regency, Bhikaji Cama Place",Chinese,4500,4,Very Good,424
310032,The Hub -  ibis New Delhi,"ibis New Delhi, Asset 9, Hospitality District, Aerocity, New Delhi","ibis New Delhi, Aerocity",North Indian,1500,3,Average,9
18481317,Frugurpop-  ibis New Delhi,"ibis New Delhi, Asset 9, Hospitality District, Aerocity, New Delhi","ibis New Delhi, Aerocity","Ice Cream, Desserts",300,1,Not rated,0
18436483,Baked and Wrapped,"Laxmi Bai Nagar, INA, New Delhi",INA,"Bakery, Desserts",500,3,Average,5
18245249,M.D. Kitchen,"62, Laxmi Bai Nagar Market, Opposite INA Market, Near Dilli Haat, INA, New Delhi",INA,"North Indian, Mughlai, Chinese, South Indian",600,3,Average,30
301448,Kerala Hotel,"211-A, Mohan Singh Market, INA Market, INA, New Delhi",INA,"Kerala, Biryani",400,4,Good,108
18425152,New Classic Kitchen,"Shop 35, Laxmi Bai Nagar Market, INA, New Delhi",INA,"Chinese, Fast Food",300,1,Not rated,0
312231,M.P. Canteen,"South Avenue, President's Estate, Near, India Gate, New Delhi",India Gate,"South Indian, North Indian, Chinese, Mughlai",350,3,Average,13
