Restaurant ID,Restaurant,Address,Locality,Cuisines,Average Cost for two,Rating,Rating text,Votes
18287358,Food Cloud,"Aaya Nagar, New Delhi",Aaya Nagar,Cuisine Varies,500,1,Not rated,2
18216944,Burger.in,"84, Near Honda Showroom, Adchini, New Delhi",Adchini,Fast Food,350,3,Average,46
313333,Days of the Raj,"81/3, 1st Floor, Qutub Residency, Adchini, New Delhi",Adchini,"North Indian, Seafood, Continental",1500,3,Average,45
18384127,Dilli Ka Dhaba,"66 A, Ground Floor, Sri Aurobindo Marg, Adchini, New Delhi",Adchini,"South Indian, North Indian",500,3,Average,11
582,Govardhan,"84, Adjacent Hero Motor Bike Showroom, Main Mehrauli Road, Adchini, New Delhi",Adchini,"South Indian, North Indian, Chinese",500,3,Average,238
18414465,Mezbaan Grills,"A- 96, Shri Aurbindo Marg, Adchini, New Delhi",Adchini,Mughlai,400,3,Average,8
304243,Say Cheese,"88/3, Adchini, New Delhi",Adchini,Fast Food,400,3,Average,64
3554,Southy,"88/4, Adchini, New Delhi",Adchini,South Indian,450,3,Average,113
18369872,Monosoz,"Sri Aurobindo Marg, Adchini, New Delhi",Adchini,Pizza,300,4,Good,66
948,Waves,"A-4, Sarvodaya Enclave, Adchini, New Delhi",Adchini,"North Indian, Chinese",1500,4,Good,141
2853,Delhi Darbar,"84, Main Road, Adchini, New Delhi",Adchini,"Chinese, North Indian",500,2,Poor,77
18433900,Chateau,"84, Aurobindo Marg, Adchini, New Delhi",Adchini,"Mediterranean, Italian",1600,4,Very Good,40
18425159,Nariyal Cafe,"A-4, 3rd Foor, Adchini, New Delhi",Adchini,"Continental, Seafood, Goan, Andhra, Kerala, Thai",1200,4,Very Good,46
310958,Rustom's Parsi Bhonu,"94-A/B, Adchini, New Delhi",Adchini,Parsi,1500,4,Very Good,665
18334443,BarShala,"Aditya Mall, Next to Cross River Mall, CBD, Karkardooma, New Delhi","Aditya Mega Mall, Karkardooma",Finger Food,600,3,Average,31
18255141,Chawla'sŒ_,"Shop SG 40, Aditya Mega Mall, Karkardooma, New Delhi","Aditya Mega Mall, Karkardooma","North Indian, Mughlai",800,3,Average,32
197,Domino's Pizza,"15/16/16-A, Plot 9-D, Aditya Mega Mall, Karkardooma, New Delhi","Aditya Mega Mall, Karkardooma","Pizza, Fast Food",700,3,Average,83
308235,Sultanat,"31-BC, Ground Floor, Aditya Mega Mall, Karkardooma, New Delhi","Aditya Mega Mall, Karkardooma","North Indian, Chinese, Continental",1000,4,Good,288
18258757,Bella Italia,"Ground Floor, MLCP, IGI Terminal 3, Aerocity, New Delhi",Aerocity,"Fast Food, Italian, Pizza",550,3,Average,33
307383,Clever Fox Cafe,"Red Fox Hotel, Asset 6, Aerocity Hospitality District, Near Aerocity, New Delhi",Aerocity,"North Indian, Continental, Chinese",900,3,Average,26
18386746,365 Naturals,"Multilevel Car Parking, Terminal 3, Aerocity, New Delhi",Aerocity,"Continental, North Indian, Fast Food, Street Food, South Indian",600,1,Not rated,2
18337885,Tpot,"Basement, MLCP Parking, Terminal 3, Aerocity, New Delhi",Aerocity,Cafe,800,1,Not rated,0
310491,4 on 44 Restaurant & Bar,"112, Aggarwal City Mall, Road 44, Near M2K Multiplex, Pitampura, New Delhi","Aggarwal City Mall, Pitampura","North Indian, Chinese",1000,3,Average,49
18337789,Rambhog,"Shop 31, Aggarwal City Mall, Near Chunmun Store, Rani Bagh, Pitampura, New Delhi","Aggarwal City Mall, Pitampura","Street Food, Mithai",200,3,Average,13
18222573,Selfie Lounge Restro & Bar,"214-215, 2nd Floor, Aggarwal City Mall, Pitampura, New Delhi","Aggarwal City Mall, Pitampura","North Indian, Chinese",1500,3,Average,64
3370,BTW,"G-71 & G-87, Aggarwal City Plaza, Mangalam Palace, Rohini, New Delhi","Aggarwal City Plaza, Rohini","Street Food, South Indian, Mithai",400,3,Average,167
307439,Chilli Pepper,"G-89-90, Near M2K Cinemas, Aggarwal City Plaza, Rohini, New Delhi","Aggarwal City Plaza, Rohini","North Indian, Chinese",900,3,Average,99
1078,Pizza Hut,"17, Mangalam Place, Aggarwal City Plaza, Rohini, New Delhi","Aggarwal City Plaza, Rohini","Italian, Pizza, Fast Food",1000,3,Average,125
9340,Puri Bakers,"G-97, Aggarwal City Plaza, Manglam Place, Rohini, New Delhi","Aggarwal City Plaza, Rohini","Bakery, Fast Food",300,4,Good,124
306761,Jaiveer Naan & Chaap,"Shop 95, Aggarwal City Plaza, Near M2K, Rohini, New Delhi","Aggarwal City Plaza, Rohini","North Indian, Fast Food",500,2,Poor,79
7580,Aggarwal's Sweets Paradise,"G-3, H/1, Alaknanda Shopping Complex, Alaknanda, New Delhi",Alaknanda,"Mithai, North Indian, South Indian, Street Food",400,3,Average,8
7584,Bikaner Sweets,"A-1/G3, Pushpa Bhawan, Alaknanda Market, Alaknanda, New Delhi",Alaknanda,"Mithai, Street Food",200,3,Average,20
7582,Cafe Coffee Day,"Nilgiri Market, Opposite Nilgiri Appartments, Alaknanda, New Delhi",Alaknanda,Cafe,450,3,Average,23
18351495,Cakeophony By Sonali,"Alaknanda, New Delhi",Alaknanda,Bakery,400,3,Average,19
7594,Chandra Sweets,"A-8, Alaknanda Shopping Complex, Near Tara Apartment, Alaknanda, New Delhi",Alaknanda,"Mithai, North Indian, South Indian, Street Food",400,3,Average,7
7583,Chhotu Mashhoor Kathi Roll,"Near Mother Dairy, Alaknanda Market, Alaknanda, New Delhi",Alaknanda,Fast Food,150,3,Average,11
7610,Green Chick Chop,"10 & 11, Narmada Market, Opposite Don Bosco School, Alaknanda, New Delhi",Alaknanda,"Raw Meats, North Indian, Fast Food",350,3,Average,35
18412603,Lazeez Restaurant,"J 15, Alaknanda Shopping Complex, Mini Market, Alaknanda, New Delhi",Alaknanda,"Chinese, North Indian, Italian, Mughlai",600,3,Average,11
7639,Madhuvan Chinese Fast Food,"Alaknanda Shopping Complex, Near Gangotri Complex Part B, Alaknanda, New Delhi",Alaknanda,Chinese,300,3,Average,32
18441545,Mr Wong,"Shop 4, Nilgiri Shopping Complex, Alaknanda, New Delhi",Alaknanda,"Chinese, Thai",800,3,Average,10
9971,Mughlai Shahi Rasoi,"B-13, DDA Shopping Complex, Alaknanda, New Delhi",Alaknanda,"North Indian, Mughlai",600,3,Average,23
18451572,Mumbai Central Street Food,"Shop 6, Narmada Market, Opposite Don Bosco School, Alaknanda, New Delhi",Alaknanda,"Street Food, Fast Food, Beverages",400,3,Average,7
7593,Neha's Treat,"Alaknanda Shopping Complex, Alaknanda, New Delhi",Alaknanda,Chinese,450,3,Average,42
301440,New Bakers Shoppee,"A-12, Alaknanda Shopping Complex, Opposite ICICI Bank, Alaknanda, New Delhi",Alaknanda,"Bakery, Fast Food",200,3,Average,21
7585,Pant  Ice Cream Parlour,"A-17, Alaknanda Market, Alaknanda, New Delhi",Alaknanda,"Desserts, Ice Cream",150,3,Average,16
306531,PM 2 AM Food Bank,"1st Floor, Alaknanda Market, Alaknanda, New Delhi",Alaknanda,North Indian,500,3,Average,37
18354658,Punjabi Chaap Corner,"Shop 6, GF, Plot 2, NRI Colony, Alaknanda, New Delhi",Alaknanda,North Indian,250,3,Average,4
18337782,Sartaj Food Corner,"J 3/21, DDA Flats, Opposite Alaknanda Market, Alaknanda, New Delhi",Alaknanda,"North Indian, South Indian, Chinese",500,3,Average,7
18258759,The Sugar Therapy,"63-C, Pocket F, Gangotri Apartments, Alaknanda, New Delhi",Alaknanda,"Bakery, Desserts",450,3,Average,22
18057805,Biryani Binge,"Mandakini Enclave, Alaknanda, New Delhi",Alaknanda,"North Indian, Biryani",600,4,Good,97
3428,City of Joy,"2, 1st Floor, Aravali Shopping Complex, Alaknanda, New Delhi",Alaknanda,Bengali,800,4,Good,452
18425771,Letz Roll,"Narmada Shopping Complex, Opposite Don Bosco School, Alaknanda, New Delhi",Alaknanda,"Ice Cream, Desserts",250,4,Good,14
18304836,Nukkad,"Shop 14, Nilgiri Apartments, Alaknanda, New Delhi",Alaknanda,"Chinese, Mughlai, North Indian",650,4,Good,82
18311951,#InstaFreeze,"B-17, Alaknanda Shopping Complex, Alaknanda, New Delhi",Alaknanda,Ice Cream,300,1,Not rated,2
18401128,Aahar Meat and Chicken Shop,"F-6, Pushpa Bhawan, Alaknanda Shopping Complex, Alaknanda, New Delhi",Alaknanda,"Raw Meats, Fast Food",400,1,Not rated,0
18354667,Food Cafe,"1-B, Mandakini Enclave, Near Gate 6, Opposite Kalka Public School, Alaknanda, New Delhi",Alaknanda,"South Indian, North Indian, Chinese",350,1,Not rated,0
18431379,Lazeez Restaurant,"15, Opposite Union Bank of India, Main Road, Greater Kailash 4, Alaknanda, New Delhi",Alaknanda,"Chinese, North Indian, Mughlai, Pizza",500,1,Not rated,1
18311953,Lemon Chick,"7 & 11, G-1, Raj Tower 1, Alaknanda Shopping Complex, Near Post Office, Alaknanda, New Delhi",Alaknanda,North Indian,500,1,Not rated,2
18361522,Punjabi Chaap Corner,"Shop 6, Ground Floor, Plot 2, NRI Colony, Greater Kailash 4, Alaknanda, New Delhi",Alaknanda,"Fast Food, North Indian",400,1,Not rated,0
18425780,Purani Dilli Foods,"J-16, Mini Market, Alaknanda, New Delhi",Alaknanda,Mughlai,600,1,Not rated,1
18489513,Tandoori Kebab,"356 Narmada, Alaknanda, New Delhi",Alaknanda,North Indian,400,1,Not rated,0
306795,Shree Rathnam,"D1, First Floor, Abhishek Tower, Alaknanda, New Delhi",Alaknanda,"South Indian, North Indian, Chinese",800,2,Poor,31
7249,Alaturka,"Food Court, 3rd Floor, Ambience Mall, Vasant Kunj, New Delhi","Ambience Mall, Vasant Kunj",Turkish,600,3,Average,100
7246,Amici Gourmet Pizza,"Food Court, 3rd Floor, Ambience Mall, Vasant Kunj, New Delhi","Ambience Mall, Vasant Kunj","Pizza, Italian",800,3,Average,230
310723,Burger King,"3rd Floor,  Ambience Mall, Vasant Kunj, New Delhi","Ambience Mall, Vasant Kunj","Burger, Fast Food",500,3,Average,458
7253,Kylin Express,"5, Food Court, 3rd Floor, Ambience Mall, Vasant Kunj, New Delhi","Ambience Mall, Vasant Kunj","Asian, Chinese",700,3,Average,176
18180041,Big Fat Sandwich,"Over Bridge, Ambience Mall, Vasant Kunj, New Delhi","Ambience Mall, Vasant Kunj",American,800,4,Good,232
18434414,Fashion Tv Cafe,"T-319, Level 3, Ambience Mall, Vasant Kunj, New Delhi","Ambience Mall, Vasant Kunj","Continental, Chinese, North Indian",2200,4,Good,27
4905,Kylin Skybar,"T-302, 3rd Floor, Ambience Mall, Vasant Kunj, New Delhi","Ambience Mall, Vasant Kunj","Chinese, Japanese, Thai, Malaysian, Vietnamese, Asian",2200,4,Good,210
18421232,Lemon Drops,"T 314 -15, Food Court, 3rd Floor, Ambience Mall, Vasant Kunj, New Delhi","Ambience Mall, Vasant Kunj","North Indian, South Indian",500,4,Good,44
7228,Punjabi By Nature Express,"3rd Floor, Food Court, Ambience Mall, Vasant Kunj, New Delhi","Ambience Mall, Vasant Kunj","North Indian, Street Food, Mughlai",600,4,Good,206
7068,Red Mango,"Level 2, Ambience Mall, Vasant Kunj, New Delhi","Ambience Mall, Vasant Kunj","Cafe, Desserts",700,4,Good,185
302152,Starbucks,"1st Floor, Ambience Mall, Vasant Kunj, New Delhi","Ambience Mall, Vasant Kunj",Cafe,700,4,Good,256
312300,Peninsular Kitchen,"Level 3, Ambience Mall, Vasant Kunj, New Delhi","Ambience Mall, Vasant Kunj","Seafood, South Indian, Andhra, Hyderabadi, Goan",1500,4,Very Good,336
5565,Mithapur,"4 & 5, Anand Lok Market, Opposite Gargi College, Anand Lok, New Delhi",Anand Lok,"Chinese, Fast Food, North Indian, South Indian",450,3,Average,280
307113,Diggin,"Anand Lok Shopping Centre, Opposite Gargi College, Anand Lok, New Delhi",Anand Lok,"Italian, Continental, Cafe",1400,4,Very Good,2131
6258,Aggarwal Sweet India,"17, DDA Market, Savita Vihar, Anand Vihar, New Delhi",Anand Vihar,"Fast Food, North Indian, Chinese, Desserts",200,3,Average,13
6094,Banzara's,"8, A Block, Central Market, Surajmal Vihar, Anand Vihar, New Delhi",Anand Vihar,"Chinese, Fast Food",400,3,Average,38
304592,Bobby Tikki Wala,"G-1, Ajnara Tower, DDA Market, Plot Number 1, Savita Vihar, Near Anand Vihar, New Delhi",Anand Vihar,Street Food,150,3,Average,69
18421481,Chennai Junction,"G-3, Pankaj Plaza, LSC, Surajmal Vihar, Anand Vihar, New Delhi",Anand Vihar,South Indian,500,3,Average,11
310874,Chicken Bite,"G 3, Block A, Central Market, Surajmal Vihar, Anand Vihar, New Delhi",Anand Vihar,Fast Food,200,3,Average,6
18313972,Chocolate Dreams,"D-130, Anand Vihar, New Delhi",Anand Vihar,"Bakery, Desserts",400,3,Average,4
18128860,Dial n Dine,"Shop 16, Ground Floor, DDA Market, Savita Vihar, Anand Vihar, New Delhi",Anand Vihar,"North Indian, Chinese",650,3,Average,80
310877,Fresh n Refresh,"Shop 4, Kamal Complex, Central Market, Pocket A, Surajmal Vihar, Near Anand Vihar, New Delhi",Anand Vihar,Fast Food,500,3,Average,24
304687,Garden Hut,"Maharaja Surajmal Samadhi Park, Opposite C Block, Suraj Mal Vihar, Anand Vihar, New Delhi",Anand Vihar,"Chinese, Fast Food",250,3,Average,13
312444,Giani,"G-4, Pankaj Plaza, A Block, Local Shopping Centre, Surajmal Vihar, Anand Vihar, New Delhi",Anand Vihar,"Ice Cream, Desserts",400,3,Average,12
18337975,Jugnu Gaming Zone and Cafe,"39, Opposite Bharat Petrol Pump, Near Yamuna Sports Complex, Anand Vihar, New Delhi",Anand Vihar,"Cafe, North Indian, Fast Food",600,3,Average,4
18124373,Keventer's South Indian & Chinese Food,"Shop No 5, Chetan Complex, Anand Vihar, New Delhi",Anand Vihar,"Chinese, South Indian",200,3,Average,9
305913,KTS,"Central Market, Surajmal Vihar, Anand Vihar, New Delhi",Anand Vihar,Fast Food,250,3,Average,18
310447,Mandarin,"G-7, Pankaj Plaza, Surajmal Vihar, Near, Anand Vihar, New Delhi",Anand Vihar,Chinese,600,3,Average,14
310858,Penguin Bakers & Shakers,"G-6, Pankaj Plaza, Local Shopping Complex, Surajmal Vihar, Anand Vihar, New Delhi",Anand Vihar,Fast Food,400,3,Average,9
18332083,Rollmates,"G 4, Plot 10, LSC Market, Khetan Complex, Surajmal Vihar, Anand Vihar, New Delhi",Anand Vihar,"Fast Food, North Indian, Chinese",200,3,Average,16
18361241,Tandoori Nights,"Plot 5, Sikka Mansion, Savita Vihar Market, Anand Vihar, New Delhi",Anand Vihar,"Mughlai, North Indian",650,3,Average,5
305630,Burger Dominion,"G-5, Pankaj Plaza, Ground Floor, A Block, Surajmal Vihar, Anand Vihar, New Delhi",Anand Vihar,Fast Food,500,4,Good,251
18034049,Cafe Gainz,"Shop G-7, Plot 4, LSC, Surajmal Vihar, Near, Anand Vihar, New Delhi",Anand Vihar,Healthy Food,350,4,Good,42
6092,Chaskaa,"Kamal Complex, Local Shopping Centre, Surajmal Vihar, Anand Vihar, New Delhi",Anand Vihar,"Chinese, North Indian, Italian",650,4,Good,220
18124361,Fabulous Cake Bites,"G-5, Ajnara Complex, Savita Vihar, Anand Vihar, New Delhi",Anand Vihar,"Bakery, Desserts, Fast Food, Pizza, Burger, Continental",400,4,Good,34
6088,Hangout - A House Of Kathis,"G-2, Ashish Complex, Surajmal Vihar Market, Anand Vihar, New Delhi",Anand Vihar,Street Food,250,4,Good,103
18394366,Malais By Anands,"Shop 11, Ground Floor, LSC Complex, Savita Vihar, Anand Vihar, New Delhi",Anand Vihar,"North Indian, Chinese, South Indian, Fast Food",300,4,Good,46
18354639,Panchwati Rasoi,"LSC, Savita Vihar Market, Anand Vihar, New Delhi",Anand Vihar,"North Indian, Chinese",250,4,Good,62
311657,Sprinkles Cup & Cake,"B-268, Yojna Vihar, Anand Vihar, New Delhi",Anand Vihar,"Bakery, Desserts",300,4,Good,42
18350112,Target Ice Cream & Bakers,"Ground Floor, 4, Vigyan Vihar, Anand Vihar, New Delhi",Anand Vihar,"Desserts, Bakery, Pizza, Burger, Continental",350,4,Good,58
18377924,The Sweeet Jar,"A-276, Surajmal Vihar, Anand Vihar, New Delhi",Anand Vihar,"Cafe, Bakery",1000,4,Good,106
18428216,Amar Bakery,"G-5 & 6, Krit Plaza LSC, Surajmal Vihar, Anand Vihar, New Delhi",Anand Vihar,"Bakery, Desserts, Fast Food, Mithai",500,1,Not rated,0
18421050,Cafe Brewbug,"Shop 4, Atlantic Plaza, Surajmal Vihar, Anand Vihar, New Delhi",Anand Vihar,"Fast Food, Beverages",350,1,Not rated,1
18377887,Chilll House Kafe,"F-201, A Block, Ashish Complex-2, Central Market, Surajmal Vihar, Anand Vihar, New Delhi",Anand Vihar,Cafe,500,1,Not rated,1
18421693,Cookie Shookie,"165, Vigyan Vihar, Anand Vihar, New Delhi",Anand Vihar,Bakery,100,1,Not rated,0
18418263,Fabulous Cake,"C3, Yojna Vihar Market, Anand Vihar, New Delhi",Anand Vihar,Bakery,300,1,Not rated,0
18421457,Jai Maa Shaarde Samose Wala,"G 2 Sarita Vihar, Anand Vihar, New Delhi",Anand Vihar,Street Food,100,1,Not rated,0
18421463,Madaan Confectionery,"Shop 17, C Block, Yojna Vihar, Anand Vihar, New Delhi",Anand Vihar,Bakery,150,1,Not rated,0
18268361,Magic Masala,"Shop 567, Plot 8, LSC Market, Anand Vihar, New Delhi",Anand Vihar,"Chinese, South Indian, North Indian",500,1,Not rated,1
18445804,Sikka Chinese Fast Food,"A-134, Surajmal Vihar, Near Bharat National School, Anand Vihar, New Delhi",Anand Vihar,"Chinese, Fast Food",300,1,Not rated,0
18347812,Teedo's Cake Inn,"House 1, Dayanand Vihar, Anand Vihar, New Delhi",Anand Vihar,"Cafe, Bakery",500,1,Not rated,0
18377920,Thalaiva Cafe,"Shop 6, Central Market, Surajmal Vihar, Anand Vihar, New Delhi",Anand Vihar,"South Indian, Chinese",400,1,Not rated,2
311544,The Cake Affairs,"C-391, 1st Floor, Yojna Vihar, Near Anand Vihar, Anand Vihar, New Delhi",Anand Vihar,"Bakery, Desserts",500,1,Not rated,0
18377915,Tulsi Ram Chinese Hut,"G 6, Plot 10, Chetan Complex, Central Market, Surajmal Vihar, Anand Vihar, New Delhi",Anand Vihar,Chinese,200,1,Not rated,0
18421058,V. K. Pasta,"Shop 2, Chetan Complex, Surajmal Vihar, Anand Vihar, New Delhi",Anand Vihar,"Italian, Fast Food",600,1,Not rated,0
18335692,Xpert Bakers,"Shop 22, D Block, DDA Market, Anand Vihar, New Delhi",Anand Vihar,Bakery,250,1,Not rated,0
18429396,Juniper Bar - Andaz Delhi,"Andaz Delhi, Asset 1, Aerocity, New Delhi","Andaz Delhi, Aerocity","North Indian, European",1500,3,Average,4
179,McDonald's,"BG-02, Ansal Plaza Mall, Khel Gaon Marg, New Delhi","Ansal Plaza Mall, Khel Gaon Marg","Fast Food, Burger",500,3,Average,48
307843,Pizza Hut Delivery,"B-05, Ground Floor, Ansal Plaza Mall, Khel Gaon Marg, New Delhi","Ansal Plaza Mall, Khel Gaon Marg","Italian, Pizza, Fast Food",800,3,Average,51
18421042,The Arena,"C Block, Ansal Plaza, Khel Gaon Marg, New Delhi","Ansal Plaza Mall, Khel Gaon Marg","Continental, Asian, North Indian",1600,3,Average,19
3295,Restaurant De Seoul,"3rd Floor, C Block, Ansal Plaza Mall, Near Siri Fort, Khel Gaon Marg, New Delhi","Ansal Plaza Mall, Khel Gaon Marg","Japanese, Korean",2500,4,Good,59
18414499,Taksim,"CG 01, Ansal Plaza Mall, Khel Gaon Marg, New Delhi","Ansal Plaza Mall, Khel Gaon Marg",Continental,1500,4,Good,188
18441775,Jom Jom Malay,"BG 04, Ansal Plaza, Andrews Ganj, Khel Gaon Marg, New Delhi","Ansal Plaza Mall, Khel Gaon Marg","Malaysian, Indonesian",1800,4,Very Good,77
18427565,Kofuku,"BG-09, Ansal Plaza Mall, August Kranti Marg, Khel Gaon Marg, New Delhi","Ansal Plaza Mall, Khel Gaon Marg","Japanese, Asian",1500,4,Very Good,46
18395381,The Sky High,"C-306 A & 307, T-101 & 102, 3rd Floor, Ansal Plaza Mall, Khel Gaon Marg, New Delhi","Ansal Plaza Mall, Khel Gaon Marg","Continental, North Indian, Mughlai, Italian",1400,4,Very Good,387
310281,Haldiram's,"1st Floor, ARSS Mall, Opposite Jwalaheri, Paschim Vihar, New Delhi","ARSS Mall, Paschim Vihar","North Indian, South Indian, Chinese, Mithai, Fast Food",500,3,Average,117
18207831,Jux Pux - The Dreamer's Cafe,"A-2/3, Near Delhi Stock Exchange, Asaf Ali Road, New Delhi",Asaf Ali Road,"Beverages, Fast Food",350,3,Average,7
5452,Pizzaon,"G-26, Ground Floor, Wardhman Plaza, Asaf Ali Road, New Delhi",Asaf Ali Road,"Pizza, Fast Food",500,3,Average,10
18374418,FFC Restaurant,"2581, Shanker Street, Asaf Ali Road, New Delhi",Asaf Ali Road,Fast Food,250,1,Not rated,1
18258778,"34, Chowringhee Lane","115, Central Market, Ashok Vihar Phase 1, New Delhi",Ashok Vihar Phase 1,Fast Food,350,3,Average,7
6560,Aapni Dhani,"14/1 A, Deep Cinema, Central Market, Ashok Vihar Phase 1, New Delhi",Ashok Vihar Phase 1,"North Indian, Street Food",200,3,Average,23
3322,Bengal Sweet Corner,"36, Central Market, Ashok Vihar Phase 1, New Delhi",Ashok Vihar Phase 1,"North Indian, South Indian, Chinese, Fast Food, Mithai",500,3,Average,102
18249102,Chicken Vicken,"Shop 12, I Block, DDA Market, Ashok Vihar Phase 1, New Delhi",Ashok Vihar Phase 1,"North Indian, Chinese",600,3,Average,19
18241609,Cup-a-licious,"Ashok Vihar Phase 1, New Delhi",Ashok Vihar Phase 1,Bakery,200,3,Average,15
8743,Frontier,"14, Building 3, Mohan Bazar, Central Market, Ashok Vihar Phase 1, New Delhi",Ashok Vihar Phase 1,Bakery,200,3,Average,10
5294,Metro Fast Food,"Near Taxi Stand, Central Market, Ashok Vihar Phase 1, New Delhi",Ashok Vihar Phase 1,"Chinese, Fast Food",400,3,Average,17
4651,Nagpal's,"Shop 14, Near Major Dhyan Chand Stadium, IB Block Market, Ashok Vihar Phase 1, New Delhi",Ashok Vihar Phase 1,Street Food,200,3,Average,135
5315,Nile Restro & Bar,"26, 3rd Floor, Central Market, Ashok Vihar Phase 1, New Delhi",Ashok Vihar Phase 1,"North Indian, Chinese",1000,3,Average,35
6577,Popular Chicken,"21, DDA Murga Market, J Block, Opposite Water Tank, Ashok Vihar Phase 1, New Delhi",Ashok Vihar Phase 1,"North Indian, Mughlai, Chinese",450,3,Average,5
309395,Sardar A Pure Meat Shop,"J-17, DDA Market, Ashok Vihar Phase 1, New Delhi",Ashok Vihar Phase 1,"Raw Meats, Fast Food, North Indian",150,3,Average,22
300784,Shankar Fast Food,"A-5, Central Market, Ashok Vihar Phase 1, New Delhi",Ashok Vihar Phase 1,"Chinese, Fast Food",300,3,Average,74
18430692,Singh's Zaika ,"C-9, Community Center, Nimri Colony, Ashok Vihar Phase 4, Near Ashok Vihar Phase 1, New Delhi",Ashok Vihar Phase 1,"North Indian, Chinese, Mughlai",500,3,Average,4
309503,The Mirch Masala,"27/4, Central Market, Ashok Vihar Phase 1, New Delhi",Ashok Vihar Phase 1,"North Indian, Chinese",700,3,Average,7
3326,The Mirch Masala,"DDA Murga Market, Near Deep Cinema, Ashok Vihar Phase 1, New Delhi",Ashok Vihar Phase 1,North Indian,650,3,Average,22
309384,Uncle Cake Shop,"A-795, Shastri Nagar, Ashok Vihar Phase 1, New Delhi",Ashok Vihar Phase 1,"Bakery, Desserts, Fast Food",300,3,Average,9
3079,Kays Bar-Be-Que,"16/27, Community Cetre, Ashok Vihar Phase 1, New Delhi",Ashok Vihar Phase 1,"North Indian, Mughlai",700,4,Good,191
303093,Master Bakers,"G-32 & 33, Usha Chambers, Community Centre, Ashok Vihar Phase 1, New Delhi",Ashok Vihar Phase 1,"Bakery, Desserts, Chinese, Fast Food",350,4,Good,199
309375,The Master's Fast Food Centre,"8, Deep Cinema Complex, Ashok Vihar Phase 1, New Delhi",Ashok Vihar Phase 1,"Fast Food, Chinese, Bakery",400,4,Good,60
18441672,6 Pack Momos,"BA-Block, Deep Market, Ashok Vihar Phase 1, New Delhi",Ashok Vihar Phase 1,Chinese,300,1,Not rated,1
18446423,Al Noor Foods,"23, J-Block, Ashok Vihar Phase 1, New Delhi",Ashok Vihar Phase 1,"North Indian, Mughlai",500,1,Not rated,0
18462588,Avon Kitchen,"Shop 1, Ground Floor, J Block, Ashok Vihar Phase 1, New Delhi",Ashok Vihar Phase 1,"North Indian, Mughlai, Chinese",700,1,Not rated,0
18460330,Bhasad Cafe,"E-46, Near Gopal Paints, Shastri Nagar, Ashok Vihar Phase 1, New Delhi",Ashok Vihar Phase 1,"Fast Food, Chinese",500,1,Not rated,1
18361739,Bikaner Kesarvala,"Shop 10, H Block, DDA Market, Ashok Vihar Phase 1, New Delhi",Ashok Vihar Phase 1,Mithai,100,1,Not rated,2
312338,De Bone Chicken,"20, J Block, Murga Market, Near Water Tank, Ashok Vihar Phase 1, New Delhi",Ashok Vihar Phase 1,"Raw Meats, Fast Food",400,1,Not rated,0
18057828,Indian Fresh Meat Shop,"Shop 8, Murga Market, J Block, Ashok Vihar Phase 1, New Delhi",Ashok Vihar Phase 1,"Raw Meats, Fast Food",300,1,Not rated,1
18361700,JD's Food Court,"E-46, Near Gopal Paints, Shastri Nagar, Ashok Vihar Phase 1, New Delhi",Ashok Vihar Phase 1,"North Indian, Chinese",550,1,Not rated,3
18383541,Keventers,"Shop  5/6, Building 26, Deep Market, Ashok Vihar Phase 1, New Delhi",Ashok Vihar Phase 1,Beverages,400,1,Not rated,3
18248970,Malhotra Bakery,"Shop 136, Shastri Nagar, Ashok Vihar Phase 1, New Delhi",Ashok Vihar Phase 1,"Bakery, Chinese",300,1,Not rated,1
18395538,Matthi Wala,"B-1138, Main Market, Shastri Nagar, Ashok Vihar Phase 1, New Delhi",Ashok Vihar Phase 1,"Mithai, Street Food",150,1,Not rated,0
18446396,Nirula's Ice Cream,"Shop 26, Central Market, Deep Complex, Ashok Vihar Phase 1, New Delhi",Ashok Vihar Phase 1,"Ice Cream, Desserts",250,1,Not rated,0
313193,Punjabi Chaap Corner,"A-49, Subhtra Colony, Near Shastri Nagar Metro Station, Ashok Vihar Phase 1, New Delhi",Ashok Vihar Phase 1,"Fast Food, Chinese",400,1,Not rated,1
18457050,Puran Dhaba,"Shop J-11/11, Sanjay Market, Opposite Nimri Colony, Ashok Vihar Phase 4, Near Ashok Vihar Phase 1, New Delhi",Ashok Vihar Phase 1,North Indian,200,1,Not rated,0
18375413,Rama Desi Ghee Meat Wala,"IA, Block 10 C, Ashok Vihar Phase 1, New Delhi",Ashok Vihar Phase 1,North Indian,650,1,Not rated,0
18458325,VadaPav 'n' Frankie,"Opposite Murga Market, Ashok Vihar Phase 1, New Delhi",Ashok Vihar Phase 1,Fast Food,100,1,Not rated,0
5296,Chhabra Sweets,"26, Central Market, Ashok Vihar Phase 1, New Delhi",Ashok Vihar Phase 1,Mithai,100,2,Poor,15
310802,Kanwarji's,"B4-33A, Ashok Vihar Phase 2, New Delhi",Ashok Vihar Phase 2,"Street Food, Chinese, North Indian, Mithai",300,3,Average,29
310777,Pizza Hut,"B-2/3, Ashok Vihar Phase 2, New Delhi",Ashok Vihar Phase 2,"Italian, Pizza, Fast Food",1000,3,Average,35
309,Sagar Ratna,"B-2/1, Ashok Vihar Phase 2, New Delhi",Ashok Vihar Phase 2,"South Indian, North Indian, Chinese",600,3,Average,278
